accession	long	lat	4k	6k	ratio
7530	-86.5128	42.0333	828.71	491.2	1.687113192
7566	-86.359	42.093	633.83	639.85	0.990591545
7568	-86.359	42.093	755.34	773.5	0.976522301
763	74.3667	42.3	702.54	412.34	1.703788136
765	73.4	42.1833	147.42	86.61	1.70211292
766	73.6333	42.5833	269.31	168.27	1.600463541
768	76.35	42.8	162.19	98.63	1.644428673
7717	-86.625	41.273	140.03	139.03	1.007192692
772	72.4667	37.35	239.03	138.44	1.726596359
7757	-86.625	41.273	707.96	699.69	1.01181952
7767	-86.625	41.273	658.95	678.36	0.971386874
7917	-86.3253	42.0945	199.52	191.61	1.04128177
7947	-86.3253	42.0945	315.53	178.23	1.770352915
801	-84.4639	37.9169	268.12	263.58	1.017224372
8037	-86.7368	41.3423	869.14	871.41	0.997395026
8057	-86.7368	41.3423	706.9	721.37	0.979940946
8077	-86.7368	41.3423	118.17	112.89	1.046771193
8132	-86.511	42.036	212.76	207.53	1.025201176
8171	-86.511	42.036	741.81	444.64	1.668338431
8214	2	49	142.16	137.95	1.030518304
8227	13.85	55.95	526.91	469.3	1.122757298
8233	-87.1923	41.1876	338.23	349.38	0.968086324
8234	15.8127	56.4606	1212.97	1311.13	0.925133282
8235	17.1	48.8	355.99	210.79	1.688837231
8236	15.76	49.33	280.35	162.24	1.727995562
8237	12.9040338	56.4487477	645.29	365.56	1.765209542
8238	0.4	51.15	562.23	577.12	0.974199473
8239	7	51	97.9	102.65	0.953726254
8243	11.2547	43.7703	364.08	416.02	0.875150233
8244	2.3086	48.6103	591.74	619.31	0.955482715
8246	-79.18	35	459.43	476.63	0.963913308
8264	2.8	41.6833	385.88	381.11	1.012516071
8284	16.2815	49.4112	243.45	144.45	1.685358255
8285	16.2815	49.4112	383.8	221.45	1.733122601
8290	8.5	50	323.08	196.19	1.646770987
8297	6.08	46.5	489.39	296.62	1.649888747
8307	18	59	476.05	412.72	1.153445435
8311	11.5	47.5	65.56	79.73	0.822275179
8312	7.5	50.5	176.72	174.38	1.01341897
8326	14.2786489	56.0617671	607.04	670.24	0.905705419
8337	12.37	44	176.64	106.06	1.665472374
8343	1.5	47.5	191.91	196.85	0.97490475
8351	18.336	62.8622	964.27	958.86	1.005642117
8354	56.3167	58	241.01	245.55	0.981510894
8357	2.25	41.5	2281.26	2253.89	1.01214345
8365	16	49	430.58	261.23	1.648279294
8366	8.5	50.5	392.35	222.8	1.760996409
8376	18	62.69	1059.6	769.36	1.377248622
8386	18.381	62.8698	1100.28	690.34	1.593823333
8419	25.3167	54.6833	464.38	285.75	1.625126859
8420	8.5333	50.0667	196.86	113.18	1.739353243
8424	77	35	843.64	881.52	0.957028768
8426	18.1512	57.3089	640.68	422.55	1.516222932
8427	13.9707	56.0648	431.99	422.72	1.02192941
8464	-86.8513	41.6862	833.84	853.45	0.977022673
8483	-86.8513	41.6862	836.97	836.98	0.999988052
853	-86.6691	41.7976	885.73	910.41	0.972891335
854	-86.6691	41.7976	873.48	885.42	0.986514874
867	-86.4366	41.8266	500.49	516.58	0.96885284
868	-86.4366	41.8266	397.41	396.17	1.003129969
8699	-86.3253	42.0945	134.92	143.38	0.940995955
870	-86.4366	41.8266	537.01	298.66	1.798064689
8723	-86.3253	42.0945	126.23	134.86	0.936007712
88	0.683333	47.4	152.2	83.54	1.821881733
9027	-86.511	42.036	480.92	496.21	0.969186433
9058	16.3675	57.2608	2075.49	2233.06	0.929437633
9067	48.7992	38.6536	359.4	340.92	1.054206265
9069	48.7992	38.6536	573.77	526.07	1.090672344
9070	48.7992	38.6536	350.59	332.75	1.053613824
9075	48.6131	38.7406	320.99	304.77	1.053220461
9078	48.6131	38.7406	540.1	517.25	1.04417593
9079	48.5517	38.7833	164.37	154.27	1.065469631
9081	48.5517	38.7833	302.51	284.36	1.063827543
9084	48.5517	38.7833	278.65	268.34	1.038421406
9085	48.5517	38.7833	267.98	262.38	1.02134309
9089	48.925	38.9522	350.66	334.68	1.047747102
9091	48.925	38.9522	182.3	177.56	1.026695202
9095	48.5594	38.9786	431.74	266.59	1.619490604
9099	48.5594	38.9786	303.3	296.24	1.023832028
9100	46.2831	41.8296	579.11	348.68	1.660863829
9102	46.2831	41.8296	460.22	269.83	1.70559241
9103	46.2831	41.8296	586.33	551.89	1.06240374
9104	46.2831	41.8296	535.55	325.6	1.644809582
9105	46.2831	41.8296	265.98	166.55	1.596997899
9106	46.2831	41.8296	388.17	365.18	1.062955255
9111	46.2831	41.8296	1316.84	1260.3	1.044862334
9113	46.2831	41.8296	319.17	185.49	1.720685751
9114	46.2831	41.8296	367.53	218.04	1.685608145
9115	46.2831	41.8296	252.21	150.89	1.671482537
9121	43.4767	41.7942	248.5	232.04	1.070936046
9125	44.8203	40.1408	497.08	276.13	1.800166588
